# train_loss,train_accuracy
7.608681917190551758e-01,5.600000023841857910e-01
7.871021628379821777e-01,5.000000000000000000e-01
7.589083909988403320e-01,5.000000000000000000e-01
7.822789549827575684e-01,5.000000000000000000e-01
7.777650952339172363e-01,4.600000083446502686e-01
7.629010677337646484e-01,5.199999809265136719e-01
7.438573241233825684e-01,5.000000000000000000e-01
7.533158659934997559e-01,5.600000023841857910e-01
7.501700520515441895e-01,6.600000262260437012e-01
7.394712567329406738e-01,6.000000238418579102e-01
7.545539140701293945e-01,4.399999976158142090e-01
7.676171064376831055e-01,4.199999868869781494e-01
7.338813543319702148e-01,6.399999856948852539e-01
7.629131674766540527e-01,5.000000000000000000e-01
7.340852022171020508e-01,6.000000238418579102e-01
7.435159683227539062e-01,5.799999833106994629e-01
7.555475234985351562e-01,5.400000214576721191e-01
7.490503191947937012e-01,6.000000238418579102e-01
7.369139790534973145e-01,6.800000071525573730e-01
7.569208145141601562e-01,6.000000238418579102e-01
7.328530550003051758e-01,6.200000047683715820e-01
7.691655158996582031e-01,4.000000059604644775e-01
7.503807544708251953e-01,5.799999833106994629e-01
7.357207536697387695e-01,5.400000214576721191e-01
7.523922324180603027e-01,6.200000047683715820e-01
7.482440471649169922e-01,5.600000023841857910e-01
7.418985366821289062e-01,5.799999833106994629e-01
7.514364719390869141e-01,5.400000214576721191e-01
7.191933989524841309e-01,6.600000262260437012e-01
7.493808269500732422e-01,5.600000023841857910e-01
7.343681454658508301e-01,6.000000238418579102e-01
7.245765924453735352e-01,5.600000023841857910e-01
7.464019060134887695e-01,4.799999892711639404e-01
7.401641607284545898e-01,5.799999833106994629e-01
7.236866354942321777e-01,6.399999856948852539e-01
7.518411874771118164e-01,5.400000214576721191e-01
7.479830384254455566e-01,5.400000214576721191e-01
7.350097298622131348e-01,6.000000238418579102e-01
7.377191185951232910e-01,5.799999833106994629e-01
7.135578393936157227e-01,6.600000262260437012e-01
7.536709308624267578e-01,4.799999892711639404e-01
7.324907779693603516e-01,6.000000238418579102e-01
7.428149580955505371e-01,5.400000214576721191e-01
7.430288791656494141e-01,5.000000000000000000e-01
7.224152088165283203e-01,6.399999856948852539e-01
7.417540550231933594e-01,5.799999833106994629e-01
7.353296875953674316e-01,5.600000023841857910e-01
7.270603775978088379e-01,5.799999833106994629e-01
7.417518496513366699e-01,5.000000000000000000e-01
7.319777011871337891e-01,6.000000238418579102e-01
7.195528745651245117e-01,6.600000262260437012e-01
7.492365241050720215e-01,4.799999892711639404e-01
7.405285239219665527e-01,5.600000023841857910e-01
7.301586270332336426e-01,5.000000000000000000e-01
7.379355430603027344e-01,6.000000238418579102e-01
7.082912921905517578e-01,7.200000286102294922e-01
7.598080635070800781e-01,4.600000083446502686e-01
7.215026617050170898e-01,6.200000047683715820e-01
7.452438473701477051e-01,4.799999892711639404e-01
7.365366220474243164e-01,5.600000023841857910e-01
7.205829620361328125e-01,6.800000071525573730e-01
7.366367578506469727e-01,5.799999833106994629e-01
7.330108880996704102e-01,5.000000000000000000e-01
7.222303152084350586e-01,5.799999833106994629e-01
7.482576370239257812e-01,4.799999892711639404e-01
7.270428538322448730e-01,6.600000262260437012e-01
7.126294374465942383e-01,6.600000262260437012e-01
7.670045495033264160e-01,4.799999892711639404e-01
7.740496993064880371e-01,6.000000238418579102e-01
8.060879111289978027e-01,5.400000214576721191e-01
7.851523160934448242e-01,5.199999809265136719e-01
7.222281694412231445e-01,5.799999833106994629e-01
7.584308385848999023e-01,5.400000214576721191e-01
7.719171643257141113e-01,4.600000083446502686e-01
7.578024864196777344e-01,5.000000000000000000e-01
7.457535862922668457e-01,5.400000214576721191e-01
7.458817362785339355e-01,5.199999809265136719e-01
7.594738006591796875e-01,5.600000023841857910e-01
7.384929060935974121e-01,5.799999833106994629e-01
7.809321880340576172e-01,4.799999892711639404e-01
7.551411986351013184e-01,5.400000214576721191e-01
7.301353216171264648e-01,6.200000047683715820e-01
7.967838048934936523e-01,4.399999976158142090e-01
7.507523894309997559e-01,5.600000023841857910e-01
7.249071598052978516e-01,6.000000238418579102e-01
7.694268226623535156e-01,5.000000000000000000e-01
7.394668459892272949e-01,5.400000214576721191e-01
7.744776606559753418e-01,5.000000000000000000e-01
7.338886857032775879e-01,5.400000214576721191e-01
7.575532793998718262e-01,5.199999809265136719e-01
7.401025891304016113e-01,5.799999833106994629e-01
7.335420846939086914e-01,5.400000214576721191e-01
7.398744821548461914e-01,4.799999892711639404e-01
7.455909252166748047e-01,5.199999809265136719e-01
7.582416534423828125e-01,4.399999976158142090e-01
7.375489473342895508e-01,5.000000000000000000e-01
7.441983222961425781e-01,5.000000000000000000e-01
7.471275925636291504e-01,4.799999892711639404e-01
7.310576438903808594e-01,5.600000023841857910e-01
7.518441677093505859e-01,4.799999892711639404e-01
7.656280994415283203e-01,4.199999868869781494e-01
7.369286417961120605e-01,5.199999809265136719e-01
7.344098091125488281e-01,5.199999809265136719e-01
7.235450148582458496e-01,6.000000238418579102e-01
7.514201402664184570e-01,4.399999976158142090e-01
7.639518976211547852e-01,3.600000143051147461e-01
7.353042960166931152e-01,4.600000083446502686e-01
7.244833111763000488e-01,6.000000238418579102e-01
7.395647168159484863e-01,4.799999892711639404e-01
7.455769181251525879e-01,4.199999868869781494e-01
7.461063861846923828e-01,4.600000083446502686e-01
7.399649024009704590e-01,5.799999833106994629e-01
7.350945472717285156e-01,5.600000023841857910e-01
7.311763167381286621e-01,5.799999833106994629e-01
7.418210506439208984e-01,4.199999868869781494e-01
7.425276637077331543e-01,5.199999809265136719e-01
7.463234663009643555e-01,4.799999892711639404e-01
7.292484045028686523e-01,5.600000023841857910e-01
7.297977209091186523e-01,5.600000023841857910e-01
7.299224138259887695e-01,5.600000023841857910e-01
7.466572523117065430e-01,5.000000000000000000e-01
7.524918913841247559e-01,4.000000059604644775e-01
7.256434559822082520e-01,6.000000238418579102e-01
7.139456272125244141e-01,6.000000238418579102e-01
7.359144091606140137e-01,5.000000000000000000e-01
7.439363598823547363e-01,4.799999892711639404e-01
7.542448639869689941e-01,4.199999868869781494e-01
7.228522896766662598e-01,5.799999833106994629e-01
7.257422208786010742e-01,6.000000238418579102e-01
7.266496419906616211e-01,5.799999833106994629e-01
7.352868914604187012e-01,5.400000214576721191e-01
7.397327423095703125e-01,5.600000023841857910e-01
7.398254275321960449e-01,4.399999976158142090e-01
7.142334580421447754e-01,6.200000047683715820e-01
7.284446358680725098e-01,5.000000000000000000e-01
7.431212067604064941e-01,4.799999892711639404e-01
7.441002130508422852e-01,5.199999809265136719e-01
7.428283095359802246e-01,4.199999868869781494e-01
7.194602489471435547e-01,6.000000238418579102e-01
7.179360389709472656e-01,6.999999880790710449e-01
7.179667949676513672e-01,6.600000262260437012e-01
7.435128092765808105e-01,4.799999892711639404e-01
7.485867142677307129e-01,4.199999868869781494e-01
7.225925922393798828e-01,5.400000214576721191e-01
7.182158231735229492e-01,6.399999856948852539e-01
7.201705574989318848e-01,5.799999833106994629e-01
7.380053997039794922e-01,5.199999809265136719e-01
7.460110187530517578e-01,4.399999976158142090e-01
7.241623997688293457e-01,5.400000214576721191e-01
7.043621540069580078e-01,6.999999880790710449e-01
7.204285264015197754e-01,5.199999809265136719e-01
7.545108795166015625e-01,4.000000059604644775e-01
7.447088956832885742e-01,4.600000083446502686e-01
7.470001578330993652e-01,4.399999976158142090e-01
7.110615968704223633e-01,6.399999856948852539e-01
7.215307354927062988e-01,6.200000047683715820e-01
7.150531411170959473e-01,6.600000262260437012e-01
7.394610047340393066e-01,5.000000000000000000e-01
7.464461922645568848e-01,4.199999868869781494e-01
7.243174910545349121e-01,5.400000214576721191e-01
7.233929634094238281e-01,5.799999833106994629e-01
7.239404916763305664e-01,5.400000214576721191e-01
7.254183888435363770e-01,6.000000238418579102e-01
7.424905896186828613e-01,4.600000083446502686e-01
7.238695621490478516e-01,5.400000214576721191e-01
7.283170819282531738e-01,5.400000214576721191e-01
7.191624641418457031e-01,6.200000047683715820e-01
7.266796231269836426e-01,5.199999809265136719e-01
7.340206503868103027e-01,4.799999892711639404e-01
7.270511984825134277e-01,5.400000214576721191e-01
7.195296883583068848e-01,5.799999833106994629e-01
7.190166711807250977e-01,6.000000238418579102e-01
7.265954613685607910e-01,5.199999809265136719e-01
7.355006933212280273e-01,3.600000143051147461e-01
7.354199886322021484e-01,4.799999892711639404e-01
7.108727693557739258e-01,6.600000262260437012e-01
7.138025164604187012e-01,5.799999833106994629e-01
7.151595354080200195e-01,5.799999833106994629e-01
7.454189658164978027e-01,4.600000083446502686e-01
