Training iter #50:   Batch Loss = 0.780833, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.9425042271614075, Accuracy = 0.3695652186870575
Training iter #100:   Batch Loss = 0.831337, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.9031768441200256, Accuracy = 0.3695652186870575
Training iter #200:   Batch Loss = 0.752236, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.8461189866065979, Accuracy = 0.3695652186870575
Training iter #300:   Batch Loss = 0.754121, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.8062575459480286, Accuracy = 0.3695652186870575
Training iter #400:   Batch Loss = 0.766676, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7794771790504456, Accuracy = 0.3804347813129425
Training iter #500:   Batch Loss = 0.758410, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7579648494720459, Accuracy = 0.3804347813129425
Training iter #600:   Batch Loss = 0.743923, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7439600825309753, Accuracy = 0.46739131212234497
Training iter #700:   Batch Loss = 0.732854, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7351419925689697, Accuracy = 0.554347813129425
Training iter #800:   Batch Loss = 0.730520, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7296944856643677, Accuracy = 0.6304348111152649
Training iter #900:   Batch Loss = 0.736851, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7281697988510132, Accuracy = 0.6304348111152649
Training iter #1000:   Batch Loss = 0.742208, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.727939248085022, Accuracy = 0.6304348111152649
Training iter #1100:   Batch Loss = 0.756397, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7284156680107117, Accuracy = 0.6304348111152649
Training iter #1200:   Batch Loss = 0.714880, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7304307818412781, Accuracy = 0.6304348111152649
Training iter #1300:   Batch Loss = 0.717487, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7329663634300232, Accuracy = 0.532608687877655
Training iter #1400:   Batch Loss = 0.751314, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7364319562911987, Accuracy = 0.489130437374115
Training iter #1500:   Batch Loss = 0.716696, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7400747537612915, Accuracy = 0.45652174949645996
Training iter #1600:   Batch Loss = 0.731979, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7426490783691406, Accuracy = 0.47826087474823
Training iter #1700:   Batch Loss = 0.733074, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7459273338317871, Accuracy = 0.46739131212234497
Training iter #1800:   Batch Loss = 0.716567, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7475551962852478, Accuracy = 0.45652174949645996
Training iter #1900:   Batch Loss = 0.729400, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7484913468360901, Accuracy = 0.45652174949645996
Training iter #2000:   Batch Loss = 0.720688, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7497822642326355, Accuracy = 0.45652174949645996
Training iter #2100:   Batch Loss = 0.721750, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7492976188659668, Accuracy = 0.47826087474823
Training iter #2200:   Batch Loss = 0.737929, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7495504021644592, Accuracy = 0.46739131212234497
Training iter #2300:   Batch Loss = 0.699693, Accuracy = 0.7599999904632568
PERFORMANCE ON TEST SET: Batch Loss = 0.7497623562812805, Accuracy = 0.47826087474823
Training iter #2400:   Batch Loss = 0.730105, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7478212714195251, Accuracy = 0.45652174949645996
Training iter #2500:   Batch Loss = 0.733945, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7477648258209229, Accuracy = 0.45652174949645996
Training iter #2600:   Batch Loss = 0.707954, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7472965717315674, Accuracy = 0.46739131212234497
Training iter #2700:   Batch Loss = 0.724136, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7481319308280945, Accuracy = 0.46739131212234497
Training iter #2800:   Batch Loss = 0.710713, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7503823041915894, Accuracy = 0.46739131212234497
Training iter #2900:   Batch Loss = 0.716970, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7506683468818665, Accuracy = 0.46739131212234497
Training iter #3000:   Batch Loss = 0.737139, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7521242499351501, Accuracy = 0.46739131212234497
Training iter #3100:   Batch Loss = 0.687932, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7525509595870972, Accuracy = 0.47826087474823
Training iter #3200:   Batch Loss = 0.729912, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7497751116752625, Accuracy = 0.47826087474823
Training iter #3300:   Batch Loss = 0.730029, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7486884593963623, Accuracy = 0.47826087474823
Training iter #3400:   Batch Loss = 0.694072, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.747646152973175, Accuracy = 0.489130437374115
Training iter #3500:   Batch Loss = 0.717235, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7483537197113037, Accuracy = 0.46739131212234497
Training iter #3600:   Batch Loss = 0.698315, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7490419745445251, Accuracy = 0.46739131212234497
Training iter #3700:   Batch Loss = 0.722159, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7477092146873474, Accuracy = 0.489130437374115
Training iter #3800:   Batch Loss = 0.734653, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.748271107673645, Accuracy = 0.489130437374115
Training iter #3900:   Batch Loss = 0.681024, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.746307909488678, Accuracy = 0.510869562625885
Training iter #4000:   Batch Loss = 0.726879, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7422215342521667, Accuracy = 0.510869562625885
Training iter #4100:   Batch Loss = 0.720859, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7365086078643799, Accuracy = 0.532608687877655
Training iter #4200:   Batch Loss = 0.688979, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7404396533966064, Accuracy = 0.510869562625885
Training iter #4300:   Batch Loss = 0.704235, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7447222471237183, Accuracy = 0.489130437374115
Training iter #4400:   Batch Loss = 0.696959, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.739242434501648, Accuracy = 0.5
Training iter #4500:   Batch Loss = 0.722705, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7312764525413513, Accuracy = 0.510869562625885
Training iter #4600:   Batch Loss = 0.718420, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7296709418296814, Accuracy = 0.510869562625885
Training iter #4700:   Batch Loss = 0.685844, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7385543584823608, Accuracy = 0.5
Training iter #4800:   Batch Loss = 0.716271, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.745222806930542, Accuracy = 0.510869562625885
Training iter #4900:   Batch Loss = 0.721078, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7387973666191101, Accuracy = 0.5
Training iter #5000:   Batch Loss = 0.678077, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7421013116836548, Accuracy = 0.510869562625885
Training iter #5100:   Batch Loss = 0.705418, Accuracy = 0.6000000238418579
